cluster	Spannungsebene_Category	Spannungsebene_Category
347	Hochspannung	3
348	Mittelspannung	4
349	Mittelspannung	8
350	Mittelspannung	19
351	Mittelspannung	10
351	Hochspannung	6
352	Umspannebene Hochspannung/Mittelspannung	6
353	Mittelspannung	4
354	Mittelspannung	5
355	Hochspannung	10
355	Mittelspannung	2
356	Umspannebene Hochspannung/Mittelspannung	7
357	Umspannebene Hochspannung/Mittelspannung	5
358	Hochspannung	8
358	Mittelspannung	1
359	Hochspannung	6
359	Umspannebene Mittelspannung/Niederspannung	3
359	Mittelspannung	1
360	Hochspannung	36
360	Höchstspannung	4
360	Mittelspannung	2
360	Niederspannung	1
360	Umspannebene Mittelspannung/Niederspannung	1
361	Mittelspannung	43
361	Hochspannung	39
361	Höchstspannung	28
361	Umspannebene Hochspannung/Mittelspannung	4
362	Mittelspannung	13
363	Höchstspannung	10
363	Mittelspannung	5
364	Mittelspannung	12
365	Umspannebene Hochspannung/Mittelspannung	6
366	Mittelspannung	8
367	Mittelspannung	10
368	Hochspannung	7
368	Umspannebene Hochspannung/Mittelspannung	4
369	Mittelspannung	6
370	Mittelspannung	4
371	Mittelspannung	11
371	Umspannebene Hochspannung/Mittelspannung	6
372	Umspannebene Hochspannung/Mittelspannung	4
373	Hochspannung	12
373	Mittelspannung	4
373	Umspannebene Hochspannung/Mittelspannung	4
374	Hochspannung	4
375	Hochspannung	5
376	Hochspannung	13
376	Mittelspannung	5
377	Hochspannung	17
378	Hochspannung	7
378	Höchstspannung	5
378	Mittelspannung	2
379	Umspannebene Hochspannung/Mittelspannung	5
380	Umspannebene Hochspannung/Mittelspannung	6
381	Mittelspannung	5
382	Mittelspannung	9
383	Hochspannung	27
383	Mittelspannung	9
384	Mittelspannung	11
384	Hochspannung	1
385	Hochspannung	38
385	Umspannebene Hochspannung/Mittelspannung	2
386	Hochspannung	22
386	Mittelspannung	12
387	Mittelspannung	7
387	Niederspannung	1
388	Hochspannung	10
388	Niederspannung	2
389	Hochspannung	6
390	Mittelspannung	4
391	Mittelspannung	4
392	Hochspannung	10
393	Hochspannung	17
394	Hochspannung	9
395	Umspannebene Hochspannung/Mittelspannung	6
395	Mittelspannung	5
396	Hochspannung	3
396	Mittelspannung	1
397	Mittelspannung	4
398	Hochspannung	6
399	Mittelspannung	6
400	Mittelspannung	5
400	Umspannebene Hochspannung/Mittelspannung	1
401	Umspannebene Hochspannung/Mittelspannung	6
402	Mittelspannung	3
402	Umspannebene Hochspannung/Mittelspannung	2
403	Höchstspannung	50
403	Mittelspannung	2
404	Umspannebene Hochspannung/Mittelspannung	9
405	Umspannebene Hochspannung/Mittelspannung	12
405	Mittelspannung	3
406	Mittelspannung	4
406	Hochspannung	1
407	Mittelspannung	2
407	Niederspannung	1
408	Mittelspannung	6
409	Mittelspannung	11
410	Umspannebene Hochspannung/Mittelspannung	13
410	Mittelspannung	10
410	Hochspannung	5
411	Hochspannung	8
411	Mittelspannung	1
412	Hochspannung	9
412	Mittelspannung	4
413	Mittelspannung	12
414	Mittelspannung	7
415	Mittelspannung	7
416	Mittelspannung	5
416	Umspannebene Hochspannung/Mittelspannung	3
416	Niederspannung	1
417	Mittelspannung	11
418	Mittelspannung	15
418	Hochspannung	4
418	Umspannebene Hochspannung/Mittelspannung	1
419	Hochspannung	10
420	Mittelspannung	8
420	Umspannebene Hochspannung/Mittelspannung	4
421	Umspannebene Hochspannung/Mittelspannung	7
421	Mittelspannung	3
422	Hochspannung	9
423	Hochspannung	7
423	Mittelspannung	3
424	Mittelspannung	3
424	Hochspannung	1
425	Hochspannung	16
425	Mittelspannung	3
426	Mittelspannung	5
427	Mittelspannung	7
428	Mittelspannung	6
429	Hochspannung	4
430	Hochspannung	17
430	Mittelspannung	10
431	Hochspannung	4
431	Höchstspannung	2
431	Mittelspannung	2
432	Höchstspannung	14
432	Mittelspannung	2
433	Hochspannung	6
434	Umspannebene Hochspannung/Mittelspannung	14
435	Umspannebene Hochspannung/Mittelspannung	5
436	Umspannebene Hochspannung/Mittelspannung	8
436	Mittelspannung	1
437	Mittelspannung	8
438	Mittelspannung	6
439	Mittelspannung	8
440	Mittelspannung	5
441	Mittelspannung	6
442	Mittelspannung	6
443	Mittelspannung	7
