cluster	Spannungsebene_Category	Spannungsebene_Category
1291	Umspannebene Hochspannung/Mittelspannung	5
1291	Mittelspannung	1
1292	Mittelspannung	16
1292	Umspannebene Hochspannung/Mittelspannung	11
1293	Umspannebene Hochspannung/Mittelspannung	7
1294	Hochspannung	32
1294	Umspannebene Hochspannung/Mittelspannung	11
1295	Mittelspannung	10
1295	Umspannebene Hochspannung/Mittelspannung	1
1296	Umspannebene Hochspannung/Mittelspannung	5
1297	Umspannebene Hochspannung/Mittelspannung	5
1297	Mittelspannung	3
1298	Mittelspannung	14
1299	Hochspannung	17
1300	Hochspannung	40
1301	Hochspannung	17
1302	Hochspannung	5
1302	Mittelspannung	2
1303	Mittelspannung	10
1304	Mittelspannung	6
1304	Hochspannung	1
1305	Mittelspannung	8
1306	Mittelspannung	4
1307	Hochspannung	27
1307	Mittelspannung	5
1308	Mittelspannung	24
1308	Hochspannung	3
1309	Mittelspannung	4
1310	Mittelspannung	26
1310	Hochspannung	6
1311	Mittelspannung	22
1312	Hochspannung	5
1312	Mittelspannung	2
1313	Hochspannung	5
1314	Hochspannung	8
1314	Mittelspannung	1
1315	Hochspannung	11
1315	Mittelspannung	5
1316	Mittelspannung	4
1317	Hochspannung	21
1318	Hochspannung	10
1319	Mittelspannung	11
1320	Mittelspannung	4
1321	Umspannebene Hochspannung/Mittelspannung	4
1322	Mittelspannung	16
1322	Umspannebene Hochspannung/Mittelspannung	1
1323	Mittelspannung	5
1324	Mittelspannung	4
1325	Mittelspannung	12
1326	Hochspannung	67
1326	Mittelspannung	5
1327	Mittelspannung	14
1327	Umspannebene Hochspannung/Mittelspannung	3
1328	Mittelspannung	7
1329	Hochspannung	12
1330	Mittelspannung	10
1330	Hochspannung	9
1331	Hochspannung	5
1332	Hochspannung	18
1332	Mittelspannung	18
1333	Mittelspannung	8
1334	Umspannebene Hochspannung/Mittelspannung	7
1334	Mittelspannung	1
1335	Mittelspannung	4
1336	Hochspannung	16
1336	Mittelspannung	6
1337	Mittelspannung	11
1337	Hochspannung	1
1338	Hochspannung	14
1338	Mittelspannung	7
1338	Umspannebene Hochspannung/Mittelspannung	4
1339	Hochspannung	4
1339	Mittelspannung	4
1340	Mittelspannung	10
1340	Hochspannung	7
1341	Mittelspannung	6
1342	Hochspannung	8
1343	Umspannebene Hochspannung/Mittelspannung	5
1343	Mittelspannung	1
1344	Mittelspannung	8
1345	Mittelspannung	5
1345	Niederspannung	1
1346	Mittelspannung	4
1347	Mittelspannung	5
1348	Mittelspannung	17
1348	Hochspannung	3
1349	Hochspannung	44
1349	Mittelspannung	3
1350	Hochspannung	46
1350	Mittelspannung	1
1351	Mittelspannung	11
1352	Mittelspannung	25
1352	Hochspannung	2
1353	Mittelspannung	4
1354	Mittelspannung	6
1355	Mittelspannung	7
1356	Mittelspannung	4
1357	Mittelspannung	9
1358	Hochspannung	10
1359	Hochspannung	19
1360	Mittelspannung	11
1361	Mittelspannung	5
1362	Mittelspannung	3
1362	Umspannebene Hochspannung/Mittelspannung	1
1363	Mittelspannung	11
1364	Mittelspannung	7
1365	Mittelspannung	5
1366	Umspannebene Hochspannung/Mittelspannung	5
1367	Mittelspannung	4
1368	Umspannebene Hochspannung/Mittelspannung	3
1368	Mittelspannung	2
1369	Umspannebene Hochspannung/Mittelspannung	22
1370	Hochspannung	64
1370	Mittelspannung	5
1370	Umspannebene Hochspannung/Mittelspannung	1
1371	Mittelspannung	11
1372	Umspannebene Hochspannung/Mittelspannung	12
1372	Mittelspannung	6
1373	Mittelspannung	20
1373	Hochspannung	4
1373	Niederspannung	1
1374	Umspannebene Hochspannung/Mittelspannung	5
1374	Mittelspannung	3
1375	Umspannebene Hochspannung/Mittelspannung	4
1375	Mittelspannung	2
1376	Mittelspannung	4
1377	Hochspannung	15
1378	Umspannebene Hochspannung/Mittelspannung	13
1378	Hochspannung	11
1378	Mittelspannung	7
1379	Mittelspannung	6
1380	Mittelspannung	5
1381	Mittelspannung	10
1382	Umspannebene Hochspannung/Mittelspannung	7
1383	Umspannebene Hochspannung/Mittelspannung	5
1383	Mittelspannung	2
1384	Mittelspannung	6
1385	Hochspannung	6
1385	Mittelspannung	2
1386	Hochspannung	10
1386	Mittelspannung	2
1387	Hochspannung	11
1387	Mittelspannung	2
1388	Mittelspannung	5
1389	Umspannebene Hochspannung/Mittelspannung	11
1389	Mittelspannung	5
1390	Umspannebene Hochspannung/Mittelspannung	8
1390	Mittelspannung	1
1391	Hochspannung	4
1391	Mittelspannung	1
1392	Mittelspannung	19
1393	Umspannebene Hochspannung/Mittelspannung	7
1394	Mittelspannung	13
1395	Umspannebene Hochspannung/Mittelspannung	5
1395	Mittelspannung	1
1396	Mittelspannung	6
1397	Mittelspannung	7
1398	Mittelspannung	7
1399	Mittelspannung	4
1400	Mittelspannung	5
1401	Hochspannung	5
1402	Hochspannung	45
1402	Mittelspannung	2
1403	Umspannebene Hochspannung/Mittelspannung	6
1403	Mittelspannung	2
1404	Hochspannung	5
1405	Hochspannung	9
1405	Mittelspannung	1
1406	Mittelspannung	4
1407	Umspannebene Hochspannung/Mittelspannung	6
1407	Mittelspannung	2
1408	Mittelspannung	11
1408	Hochspannung	3
1409	Mittelspannung	7
1410	Mittelspannung	5
1411	Umspannebene Hochspannung/Mittelspannung	4
1412	Hochspannung	15
1413	Umspannebene Hochspannung/Mittelspannung	9
1413	Mittelspannung	2
1414	Mittelspannung	4
1415	Mittelspannung	4
1416	Mittelspannung	23
1417	Umspannebene Hochspannung/Mittelspannung	4
1418	Hochspannung	6
1419	Mittelspannung	4
1420	Mittelspannung	11
1421	Hochspannung	35
1421	Mittelspannung	6
1421	Umspannebene Hochspannung/Mittelspannung	6
1422	Mittelspannung	4
1423	Mittelspannung	5
1423	Umspannebene Hochspannung/Mittelspannung	4
1424	Hochspannung	20
1424	Mittelspannung	4
1424	Umspannebene Hochspannung/Mittelspannung	3
1425	Umspannebene Hochspannung/Mittelspannung	8
1425	Mittelspannung	6
1426	Hochspannung	5
1426	Mittelspannung	2
1427	Niederspannung	3
1427	Mittelspannung	1
1428	Mittelspannung	5
1428	Umspannebene Hochspannung/Mittelspannung	5
1429	Mittelspannung	6
1429	Umspannebene Hochspannung/Mittelspannung	4
1430	Mittelspannung	6
1431	Hochspannung	7
1432	Hochspannung	4
1433	Mittelspannung	5
1433	Umspannebene Hochspannung/Mittelspannung	5
1434	Mittelspannung	4
1435	Mittelspannung	4
1436	Mittelspannung	27
1436	Umspannebene Hochspannung/Mittelspannung	10
1437	Umspannebene Hochspannung/Mittelspannung	4
1438	Hochspannung	22
1439	Mittelspannung	6
1440	Hochspannung	6
1440	Mittelspannung	6
1440	Umspannebene Hochspannung/Mittelspannung	6
1441	Mittelspannung	4
1442	Mittelspannung	6
1443	Umspannebene Hochspannung/Mittelspannung	7
1444	Umspannebene Hochspannung/Mittelspannung	6
1444	Mittelspannung	2
1445	Mittelspannung	3
1445	Niederspannung	1
1446	Mittelspannung	5
1446	Niederspannung	1
1447	Mittelspannung	9
1447	Umspannebene Hochspannung/Mittelspannung	5
1448	Hochspannung	68
1448	Mittelspannung	3
1449	Mittelspannung	4
1450	Umspannebene Hochspannung/Mittelspannung	4
1450	Mittelspannung	2
1451	Umspannebene Hochspannung/Mittelspannung	9
1451	Mittelspannung	2
1452	Umspannebene Hochspannung/Mittelspannung	4
1453	Umspannebene Hochspannung/Mittelspannung	4
1454	Hochspannung	3
1454	Mittelspannung	2
1455	Hochspannung	15
1456	Mittelspannung	14
1457	Hochspannung	16
1457	Niederspannung	2
1458	Mittelspannung	5
1459	Mittelspannung	4
1459	Umspannebene Hochspannung/Mittelspannung	1
1460	Mittelspannung	4
1461	Hochspannung	10
1461	Mittelspannung	5
1461	Umspannebene Hochspannung/Mittelspannung	1
1462	Hochspannung	8
1462	Umspannebene Hochspannung/Mittelspannung	2
1463	Umspannebene Hochspannung/Mittelspannung	4
1463	Mittelspannung	1
1464	Umspannebene Hochspannung/Mittelspannung	8
1464	Mittelspannung	3
1465	Umspannebene Hochspannung/Mittelspannung	4
1465	Mittelspannung	1
1466	Umspannebene Hochspannung/Mittelspannung	9
1466	Hochspannung	8
1466	Mittelspannung	2
1467	Hochspannung	20
1467	Umspannebene Hochspannung/Mittelspannung	4
1467	Mittelspannung	2
1468	Mittelspannung	5
1468	Niederspannung	1
1469	Mittelspannung	5
1470	Mittelspannung	13
1471	Mittelspannung	8
1471	Niederspannung	1
1472	Mittelspannung	7
1473	Hochspannung	6
1474	Mittelspannung	4
1474	Hochspannung	2
1475	Mittelspannung	4
1476	Umspannebene Hochspannung/Mittelspannung	4
1476	Mittelspannung	2
1477	Mittelspannung	4
1478	Hochspannung	10
1479	Hochspannung	4
1480	Umspannebene Hochspannung/Mittelspannung	13
1481	Mittelspannung	5
1482	Mittelspannung	4
1483	Hochspannung	6
1484	Hochspannung	10
1485	Hochspannung	4
1485	Mittelspannung	1
1486	Hochspannung	20
1486	Mittelspannung	1
1487	Mittelspannung	4
1487	Umspannebene Hochspannung/Mittelspannung	4
1487	Niederspannung	1
1488	Mittelspannung	8
1489	Mittelspannung	4
1490	Mittelspannung	4
1491	Umspannebene Hochspannung/Mittelspannung	4
1491	Mittelspannung	3
1492	Umspannebene Hochspannung/Mittelspannung	5
1492	Mittelspannung	2
1493	Umspannebene Hochspannung/Mittelspannung	6
1494	Mittelspannung	5
1495	Hochspannung	6
1496	Hochspannung	5
1497	Mittelspannung	13
1497	Niederspannung	1
1498	Mittelspannung	5
1499	Mittelspannung	10
1500	Hochspannung	5
1501	Hochspannung	4
1502	Umspannebene Hochspannung/Mittelspannung	5
1503	Mittelspannung	18
1504	Mittelspannung	7
1505	Mittelspannung	19
1506	Mittelspannung	4
1507	Mittelspannung	6
1508	Mittelspannung	15
1509	Umspannebene Hochspannung/Mittelspannung	6
1509	Mittelspannung	4
1510	Mittelspannung	5
1511	Höchstspannung	13
1511	Mittelspannung	4
1511	Umspannebene Mittelspannung/Niederspannung	1
1512	Umspannebene Hochspannung/Mittelspannung	7
1512	Mittelspannung	1
1513	Umspannebene Hochspannung/Mittelspannung	6
1514	Mittelspannung	10
1515	Hochspannung	17
1515	Mittelspannung	2
1516	Hochspannung	16
1516	Umspannebene Höchstspannung/Hochspannung	1
1517	Hochspannung	8
1518	Mittelspannung	9
1518	Umspannebene Hochspannung/Mittelspannung	8
1519	Mittelspannung	4
1520	Höchstspannung	9
1520	Mittelspannung	3
1521	Mittelspannung	8
1522	Mittelspannung	12
1522	Umspannebene Mittelspannung/Niederspannung	1
1523	Umspannebene Höchstspannung/Hochspannung	23
1523	Mittelspannung	9
1524	Umspannebene Hochspannung/Mittelspannung	7
1524	Mittelspannung	4
1524	Niederspannung	1
1525	Mittelspannung	4
1526	Hochspannung	24
1526	Mittelspannung	6
1526	Niederspannung	1
1527	Mittelspannung	14
1528	Hochspannung	8
1528	Umspannebene Hochspannung/Mittelspannung	6
1528	Mittelspannung	2
1529	Umspannebene Hochspannung/Mittelspannung	2
1529	Höchstspannung	1
1530	Hochspannung	8
1531	Umspannebene Hochspannung/Mittelspannung	5
1531	Mittelspannung	1
1532	Höchstspannung	9
1533	Umspannebene Hochspannung/Mittelspannung	12
1533	Mittelspannung	10
1534	Mittelspannung	6
1535	Hochspannung	4
1536	Umspannebene Hochspannung/Mittelspannung	21
1536	Mittelspannung	5
1536	Umspannebene Mittelspannung/Niederspannung	1
1537	Hochspannung	9
1537	Mittelspannung	8
1537	Umspannebene Mittelspannung/Niederspannung	1
1538	Umspannebene Hochspannung/Mittelspannung	11
1539	Mittelspannung	7
1540	Mittelspannung	7
1540	Umspannebene Hochspannung/Mittelspannung	6
1541	Höchstspannung	10
1541	Umspannebene Hochspannung/Mittelspannung	1
1542	Mittelspannung	10
1542	Hochspannung	5
1543	Mittelspannung	12
1543	Umspannebene Hochspannung/Mittelspannung	7
1544	Hochspannung	4
1544	Mittelspannung	3
1544	Umspannebene Hochspannung/Mittelspannung	3
1545	Hochspannung	4
1545	Mittelspannung	4
1546	Umspannebene Hochspannung/Mittelspannung	5
1547	Hochspannung	21
1547	Mittelspannung	19
1547	Umspannebene Hochspannung/Mittelspannung	2
1548	Umspannebene Hochspannung/Mittelspannung	9
1548	Mittelspannung	1
1549	Mittelspannung	8
1550	Mittelspannung	5
1551	Hochspannung	5
1552	Mittelspannung	6
1552	Umspannebene Hochspannung/Mittelspannung	5
1553	Mittelspannung	4
1554	Mittelspannung	9
1554	Niederspannung	1
1555	Hochspannung	5
1555	Mittelspannung	3
1556	Mittelspannung	11
1557	Höchstspannung	6
1557	Mittelspannung	4
1558	Mittelspannung	6
1558	Umspannebene Hochspannung/Mittelspannung	1
1559	Mittelspannung	34
1559	Umspannebene Hochspannung/Mittelspannung	13
1559	Hochspannung	5
1560	Mittelspannung	3
1560	Umspannebene Hochspannung/Mittelspannung	2
1561	Mittelspannung	15
1562	Mittelspannung	23
1562	Hochspannung	8
1563	Mittelspannung	3
1564	Mittelspannung	8
1564	Hochspannung	3
1565	Mittelspannung	14
1566	Mittelspannung	17
1567	Mittelspannung	6
1567	Umspannebene Hochspannung/Mittelspannung	4
1568	Umspannebene Hochspannung/Mittelspannung	10
1568	Mittelspannung	6
1569	Hochspannung	2
1569	Mittelspannung	2
1570	Mittelspannung	6
1570	Hochspannung	5
1571	Mittelspannung	11
1572	Umspannebene Hochspannung/Mittelspannung	18
1572	Mittelspannung	6
1573	Umspannebene Hochspannung/Mittelspannung	4
1574	Mittelspannung	11
1574	Umspannebene Hochspannung/Mittelspannung	11
1575	Umspannebene Hochspannung/Mittelspannung	8
1575	Mittelspannung	7
1576	Mittelspannung	10
1576	Hochspannung	4
1576	Umspannebene Hochspannung/Mittelspannung	4
1577	Mittelspannung	6
1578	Mittelspannung	9
1579	Mittelspannung	5
1580	Mittelspannung	6
1581	Mittelspannung	7
1581	Hochspannung	4
1581	Umspannebene Mittelspannung/Niederspannung	1
1582	Mittelspannung	6
1583	Mittelspannung	4
1583	Umspannebene Hochspannung/Mittelspannung	3
1584	Mittelspannung	17
1584	Umspannebene Hochspannung/Mittelspannung	10
1584	Umspannebene Mittelspannung/Niederspannung	1
1585	Umspannebene Hochspannung/Mittelspannung	13
1585	Mittelspannung	5
1586	Mittelspannung	3
1586	Umspannebene Hochspannung/Mittelspannung	1
1587	Mittelspannung	31
1587	Hochspannung	12
1587	Umspannebene Hochspannung/Mittelspannung	9
1588	Mittelspannung	4
1589	Mittelspannung	5
1590	Mittelspannung	5
1590	Niederspannung	1
1591	Mittelspannung	6
1592	Mittelspannung	10
1592	Hochspannung	7
1593	Mittelspannung	6
1594	Umspannebene Hochspannung/Mittelspannung	11
1594	Mittelspannung	4
1595	Mittelspannung	7
1595	Niederspannung	2
1596	Mittelspannung	4
1596	Umspannebene Hochspannung/Mittelspannung	3
1596	Hochspannung	2
1597	Hochspannung	7
1597	Umspannebene Hochspannung/Mittelspannung	6
1598	Mittelspannung	9
1598	Umspannebene Hochspannung/Mittelspannung	1
1599	Umspannebene Hochspannung/Mittelspannung	5
1599	Mittelspannung	1
1600	Umspannebene Hochspannung/Mittelspannung	6
1601	Hochspannung	5
1602	Umspannebene Hochspannung/Mittelspannung	5
1602	Mittelspannung	2
1603	Mittelspannung	11
1603	Umspannebene Hochspannung/Mittelspannung	1
1604	Mittelspannung	9
1604	Umspannebene Hochspannung/Mittelspannung	7
1605	Umspannebene Hochspannung/Mittelspannung	19
1605	Mittelspannung	18
1605	Hochspannung	4
1606	Mittelspannung	12
1607	Mittelspannung	11
1608	Mittelspannung	11
1609	Umspannebene Hochspannung/Mittelspannung	6
1610	Mittelspannung	6
1611	Mittelspannung	4
1612	Mittelspannung	10
1613	Hochspannung	4
1613	Mittelspannung	3
1614	Hochspannung	8
1615	Umspannebene Hochspannung/Mittelspannung	4
1616	Mittelspannung	11
1616	Umspannebene Hochspannung/Mittelspannung	8
1617	Umspannebene Hochspannung/Mittelspannung	15
1617	Mittelspannung	2
1617	Hochspannung	1
1618	Mittelspannung	7
1619	Mittelspannung	12
1620	Umspannebene Hochspannung/Mittelspannung	4
1620	Mittelspannung	3
1621	Mittelspannung	49
1621	Umspannebene Hochspannung/Mittelspannung	1
1622	Mittelspannung	10
1622	Umspannebene Hochspannung/Mittelspannung	10
1623	Umspannebene Hochspannung/Mittelspannung	5
1623	Mittelspannung	3
1624	Umspannebene Hochspannung/Mittelspannung	4
1624	Mittelspannung	1
1625	Mittelspannung	5
1625	Umspannebene Hochspannung/Mittelspannung	1
1626	Mittelspannung	9
1626	Umspannebene Hochspannung/Mittelspannung	2
1627	Umspannebene Hochspannung/Mittelspannung	19
1627	Mittelspannung	7
1628	Mittelspannung	6
1628	Umspannebene Hochspannung/Mittelspannung	4
1629	Hochspannung	5
1629	Mittelspannung	3
1630	Mittelspannung	6
1631	Mittelspannung	6
1632	Umspannebene Hochspannung/Mittelspannung	5
1633	Umspannebene Hochspannung/Mittelspannung	9
1634	Mittelspannung	3
1634	Umspannebene Hochspannung/Mittelspannung	1
1635	Mittelspannung	6
1635	Umspannebene Hochspannung/Mittelspannung	6
1636	Hochspannung	33
1636	Umspannebene Hochspannung/Mittelspannung	21
1636	Mittelspannung	19
1637	Mittelspannung	6
1637	Umspannebene Hochspannung/Mittelspannung	5
1637	Hochspannung	1
1637	Niederspannung	1
1638	Hochspannung	35
1638	Mittelspannung	4
1638	Umspannebene Hochspannung/Mittelspannung	2
1639	Hochspannung	12
1639	Mittelspannung	11
1639	Umspannebene Hochspannung/Mittelspannung	2
1640	Mittelspannung	10
1641	Mittelspannung	9
1641	Umspannebene Hochspannung/Mittelspannung	4
1642	Umspannebene Hochspannung/Mittelspannung	8
1642	Mittelspannung	1
1643	Umspannebene Hochspannung/Mittelspannung	3
1643	Mittelspannung	1
1644	Mittelspannung	14
1644	Umspannebene Hochspannung/Mittelspannung	7
1645	Umspannebene Hochspannung/Mittelspannung	4
1646	Mittelspannung	5
1647	Umspannebene Hochspannung/Mittelspannung	5
1648	Hochspannung	17
1648	Umspannebene Hochspannung/Mittelspannung	4
1649	Umspannebene Hochspannung/Mittelspannung	6
1649	Hochspannung	2
1650	Hochspannung	10
1650	Mittelspannung	8
1650	Umspannebene Hochspannung/Mittelspannung	8
1651	Umspannebene Hochspannung/Mittelspannung	3
1651	Mittelspannung	2
1652	Mittelspannung	7
1652	Umspannebene Hochspannung/Mittelspannung	1
1653	Mittelspannung	22
1653	Umspannebene Hochspannung/Mittelspannung	21
1653	Umspannebene Höchstspannung/Hochspannung	2
1654	Höchstspannung	8
1655	Umspannebene Hochspannung/Mittelspannung	13
1655	Mittelspannung	2
1656	Mittelspannung	17
1656	Umspannebene Hochspannung/Mittelspannung	5
1657	Umspannebene Hochspannung/Mittelspannung	6
1657	Mittelspannung	3
1658	Hochspannung	6
1659	Umspannebene Hochspannung/Mittelspannung	9
1660	Mittelspannung	24
1660	Umspannebene Hochspannung/Mittelspannung	12
1660	Hochspannung	4
1661	Mittelspannung	10
1661	Hochspannung	6
1662	Mittelspannung	5
1662	Umspannebene Hochspannung/Mittelspannung	2
1663	Umspannebene Hochspannung/Mittelspannung	5
1663	Umspannebene Mittelspannung/Niederspannung	1
1664	Mittelspannung	16
1665	Hochspannung	14
1666	Mittelspannung	7
1666	Umspannebene Hochspannung/Mittelspannung	6
1667	Mittelspannung	12
1667	Hochspannung	8
1667	Umspannebene Hochspannung/Mittelspannung	6
1668	Umspannebene Hochspannung/Mittelspannung	7
1668	Mittelspannung	1
1669	Umspannebene Hochspannung/Mittelspannung	6
1669	Mittelspannung	2
1670	Mittelspannung	4
1670	Niederspannung	1
1671	Hochspannung	16
1671	Mittelspannung	5
1671	Umspannebene Hochspannung/Mittelspannung	1
1672	Umspannebene Hochspannung/Mittelspannung	5
1672	Mittelspannung	1
1673	Umspannebene Hochspannung/Mittelspannung	18
1673	Mittelspannung	7
1674	Hochspannung	22
1674	Mittelspannung	11
1674	Umspannebene Hochspannung/Mittelspannung	1
1675	Hochspannung	12
1675	Umspannebene Hochspannung/Mittelspannung	2
1676	Umspannebene Hochspannung/Mittelspannung	4
1676	Mittelspannung	2
1677	Umspannebene Hochspannung/Mittelspannung	7
1677	Mittelspannung	4
1678	Hochspannung	10
1679	Höchstspannung	11
1679	Mittelspannung	6
1679	Umspannebene Hochspannung/Mittelspannung	6
1679	Hochspannung	2
1680	Mittelspannung	5
1681	Mittelspannung	6
1682	Hochspannung	10
1682	Mittelspannung	2
1683	Hochspannung	20
1683	Mittelspannung	4
1684	Mittelspannung	7
1685	Mittelspannung	7
1686	Umspannebene Hochspannung/Mittelspannung	4
1686	Mittelspannung	2
1687	Mittelspannung	5
1688	Mittelspannung	6
1689	Umspannebene Hochspannung/Mittelspannung	5
1690	Umspannebene Hochspannung/Mittelspannung	6
1690	Mittelspannung	4
1691	Mittelspannung	4
1692	Mittelspannung	16
1692	Niederspannung	1
1693	Hochspannung	23
1693	Umspannebene Hochspannung/Mittelspannung	6
1693	Mittelspannung	4
1694	Höchstspannung	4
1694	Hochspannung	3
1695	Hochspannung	4
1696	Mittelspannung	3
1696	Niederspannung	1
1697	Mittelspannung	4
1698	Mittelspannung	7
1699	Hochspannung	6
1700	Umspannebene Hochspannung/Mittelspannung	2
1700	Umspannebene Mittelspannung/Niederspannung	2
1701	Mittelspannung	10
1701	Umspannebene Hochspannung/Mittelspannung	2
1701	Hochspannung	1
1702	Hochspannung	4
1703	Hochspannung	6
1704	Mittelspannung	7
1705	Hochspannung	7
1706	Mittelspannung	14
1707	Mittelspannung	11
1708	Umspannebene Hochspannung/Mittelspannung	4
1708	Mittelspannung	3
1709	Mittelspannung	10
1710	Mittelspannung	4
1710	Umspannebene Hochspannung/Mittelspannung	1
1711	Mittelspannung	8
1712	Umspannebene Hochspannung/Mittelspannung	4
1712	Mittelspannung	2
1712	Niederspannung	1
1713	Mittelspannung	9
1714	Hochspannung	10
1714	Niederspannung	1
1715	Umspannebene Hochspannung/Mittelspannung	11
1715	Hochspannung	8
1715	Mittelspannung	4
1716	Mittelspannung	26
1717	Umspannebene Hochspannung/Mittelspannung	6
1718	Mittelspannung	6
1719	Hochspannung	13
1719	Mittelspannung	12
1719	Umspannebene Hochspannung/Mittelspannung	10
1719	Höchstspannung	4
1720	Hochspannung	10
1720	Mittelspannung	1
1721	Mittelspannung	5
1721	Umspannebene Mittelspannung/Niederspannung	1
1722	Umspannebene Hochspannung/Mittelspannung	13
1722	Hochspannung	9
1723	Hochspannung	16
1723	Mittelspannung	16
1723	Umspannebene Hochspannung/Mittelspannung	10
1724	Mittelspannung	10
1724	Umspannebene Hochspannung/Mittelspannung	4
1725	Hochspannung	15
1725	Umspannebene Hochspannung/Mittelspannung	6
1725	Mittelspannung	1
1725	Umspannebene Mittelspannung/Niederspannung	1
1726	Hochspannung	10
1726	Mittelspannung	1
1727	Mittelspannung	5
1728	Mittelspannung	9
1729	Umspannebene Hochspannung/Mittelspannung	5
1729	Mittelspannung	2
1730	Mittelspannung	4
1730	Umspannebene Mittelspannung/Niederspannung	4
1730	Niederspannung	2
1731	Mittelspannung	5
1731	Niederspannung	1
1732	Mittelspannung	13
1732	Umspannebene Mittelspannung/Niederspannung	1
1733	Mittelspannung	10
1734	Hochspannung	21
1735	Mittelspannung	5
1735	Umspannebene Mittelspannung/Niederspannung	2
1736	Umspannebene Hochspannung/Mittelspannung	3
1736	Mittelspannung	2
1737	Mittelspannung	3
1738	Hochspannung	91
1738	Mittelspannung	27
1738	Umspannebene Hochspannung/Mittelspannung	25
1739	Mittelspannung	4
1740	Mittelspannung	4
1741	Mittelspannung	5
1741	Umspannebene Hochspannung/Mittelspannung	2
1742	Umspannebene Hochspannung/Mittelspannung	7
1742	Mittelspannung	1
1743	Hochspannung	5
1743	Mittelspannung	5
1744	Mittelspannung	5
1745	Hochspannung	18
1745	Umspannebene Hochspannung/Mittelspannung	11
1745	Umspannebene Mittelspannung/Niederspannung	1
1746	Mittelspannung	6
1746	Umspannebene Mittelspannung/Niederspannung	4
1746	Niederspannung	1
1747	Hochspannung	36
1747	Mittelspannung	31
1747	Umspannebene Hochspannung/Mittelspannung	26
1747	Umspannebene Mittelspannung/Niederspannung	2
1748	Hochspannung	4
1748	Mittelspannung	2
1749	Mittelspannung	10
1750	Hochspannung	10
1750	Umspannebene Hochspannung/Mittelspannung	3
1751	Mittelspannung	6
1752	Mittelspannung	8
1753	Mittelspannung	5
1754	Mittelspannung	8
1755	Umspannebene Hochspannung/Mittelspannung	12
1755	Hochspannung	8
1755	Mittelspannung	4
1756	Mittelspannung	4
1757	Mittelspannung	4
1757	Umspannebene Höchstspannung/Hochspannung	3
1758	Umspannebene Hochspannung/Mittelspannung	23
1758	Mittelspannung	3
1759	Mittelspannung	2
1759	Hochspannung	1
1760	Mittelspannung	24
1760	Hochspannung	10
1761	Mittelspannung	4
1761	Hochspannung	2
1762	Mittelspannung	13
1763	Mittelspannung	4
1764	Mittelspannung	6
1765	Mittelspannung	5
1766	Mittelspannung	10
1767	Mittelspannung	7
1768	Umspannebene Höchstspannung/Hochspannung	9
1768	Umspannebene Hochspannung/Mittelspannung	7
1768	Mittelspannung	4
1769	Hochspannung	5
1769	Umspannebene Hochspannung/Mittelspannung	5
1769	Mittelspannung	3
1770	Umspannebene Mittelspannung/Niederspannung	2
1770	Mittelspannung	1
1770	Niederspannung	1
1771	Umspannebene Hochspannung/Mittelspannung	8
1771	Mittelspannung	6
1772	Mittelspannung	5
1772	Niederspannung	4
1773	Mittelspannung	7
1774	Umspannebene Hochspannung/Mittelspannung	9
1775	Mittelspannung	4
1776	Hochspannung	4
1776	Mittelspannung	1
1777	Mittelspannung	26
1777	Umspannebene Hochspannung/Mittelspannung	25
1777	Hochspannung	3
1777	Umspannebene Mittelspannung/Niederspannung	1
1778	Hochspannung	13
1778	Mittelspannung	12
1778	Umspannebene Hochspannung/Mittelspannung	9
1779	Umspannebene Hochspannung/Mittelspannung	8
1780	Mittelspannung	6
1781	Hochspannung	8
1782	Mittelspannung	23
1783	Hochspannung	5
1784	Mittelspannung	8
1784	Umspannebene Hochspannung/Mittelspannung	2
1785	Mittelspannung	4
1786	Mittelspannung	6
1787	Mittelspannung	16
1788	Mittelspannung	6
1788	Niederspannung	1
1789	Mittelspannung	3
1789	Niederspannung	2
1790	Mittelspannung	25
1791	Umspannebene Hochspannung/Mittelspannung	9
1791	Mittelspannung	6
1792	Umspannebene Hochspannung/Mittelspannung	4
1793	Hochspannung	2
1793	Umspannebene Hochspannung/Mittelspannung	2
1794	Mittelspannung	4
1794	Umspannebene Mittelspannung/Niederspannung	3
1795	Umspannebene Mittelspannung/Niederspannung	5
1795	Niederspannung	3
1795	Mittelspannung	1
1796	Mittelspannung	4
1797	Mittelspannung	11
1798	Mittelspannung	8
1799	Umspannebene Hochspannung/Mittelspannung	13
1800	Umspannebene Hochspannung/Mittelspannung	8
1801	Hochspannung	17
1802	Hochspannung	12
1802	Umspannebene Hochspannung/Mittelspannung	7
1803	Hochspannung	6
1803	Mittelspannung	6
1804	Mittelspannung	4
1805	Mittelspannung	3
1806	Mittelspannung	2
1806	Hochspannung	1
1806	Umspannebene Mittelspannung/Niederspannung	1
1807	Mittelspannung	21
1807	Umspannebene Mittelspannung/Niederspannung	1
1808	Mittelspannung	4
1809	Mittelspannung	6
1810	Umspannebene Hochspannung/Mittelspannung	3
1810	Mittelspannung	1
1811	Mittelspannung	3
1811	Umspannebene Hochspannung/Mittelspannung	3
1811	Umspannebene Mittelspannung/Niederspannung	3
1812	Umspannebene Hochspannung/Mittelspannung	7
1812	Mittelspannung	2
1813	Hochspannung	3
1813	Mittelspannung	1
1813	Niederspannung	1
1814	Umspannebene Hochspannung/Mittelspannung	37
